producer,variable,importance
epworth,danceability,62.71819726444173
kurstin,danceability,106.72523324150202
little,danceability,15.086461403466
martin,danceability,163.63287264379264
rechtshaid,danceability,8.799439845581672
other,danceability,232.90128146638017
antonoff,danceability,60.913698841597665
nowels,danceability,11.47363291236233
epworth,energy,63.464978119437426
kurstin,energy,105.45158290972842
little,energy,12.939960430590622
martin,energy,123.54145828642766
rechtshaid,energy,8.689606747350394
other,energy,179.7677412817527
antonoff,energy,57.9379101300316
nowels,energy,9.409751366330735
epworth,loudness,60.34491899972705
kurstin,loudness,104.794911033718
little,loudness,15.031854172048902
martin,loudness,126.27237822839888
rechtshaid,loudness,10.39535811253302
other,loudness,189.71809190608695
antonoff,loudness,104.27981600736217
nowels,loudness,9.79892145606547
epworth,mode,9.33988021856576
kurstin,mode,12.834567365426828
little,mode,1.8670880687111657
martin,mode,22.822824019582196
rechtshaid,mode,1.3413672473579452
other,mode,24.470540421061834
antonoff,mode,9.081424699553345
nowels,mode,2.829761308064811
epworth,speechiness,62.53237920456376
kurstin,speechiness,112.75689761358815
little,speechiness,14.914207129792446
martin,speechiness,128.42243022147434
rechtshaid,speechiness,9.162094185675533
other,speechiness,249.08785595227306
antonoff,speechiness,65.9501242449588
nowels,speechiness,7.607560235288045
epworth,acousticness,70.37501796545561
kurstin,acousticness,103.69132526022823
little,acousticness,15.746903647819078
martin,acousticness,153.42448959282444
rechtshaid,acousticness,10.356424201292207
other,acousticness,190.27209739596984
antonoff,acousticness,59.15932572822969
nowels,acousticness,8.80148693901016
epworth,instrumentalness,56.991531806420724
kurstin,instrumentalness,73.79823168167349
little,instrumentalness,10.51014215536965
martin,instrumentalness,89.39694228826843
rechtshaid,instrumentalness,7.7491137837272
other,instrumentalness,135.28331536594348
antonoff,instrumentalness,48.74932515215573
nowels,instrumentalness,7.685434653558892
epworth,liveness,53.75704705833209
kurstin,liveness,92.42523843360941
little,liveness,12.902214865442552
martin,liveness,118.21040316728605
rechtshaid,liveness,7.837720910007786
other,liveness,178.73753048512896
antonoff,liveness,57.09818573754773
nowels,liveness,7.359358116190053
epworth,valence,62.763410049428714
kurstin,valence,106.68753443591945
little,valence,15.903210382973477
martin,valence,135.03283524504036
rechtshaid,valence,9.142279613095866
other,valence,183.80729241394346
antonoff,valence,66.3722928865095
nowels,valence,9.368309326606076
epworth,tempo,59.029457252242544
kurstin,tempo,105.88277031134002
little,tempo,17.428973349279218
martin,tempo,137.45347750719242
rechtshaid,tempo,10.560125615875021
other,tempo,207.31910939232975
antonoff,tempo,62.208016073650604
nowels,tempo,8.254890160573753
