producer,term,energy,loudness,danceability
antonoff,tempo,0.34695099611201663,0.14970444275394684,-0.14285595764881961
antonoff,valence,0.42866425240599004,0.3582354208651202,0.31193375940828044
antonoff,liveness,0.23823038511793168,0.18074188273651562,-0.019160697534522125
antonoff,instrumentalness,-0.015173955253931124,-0.23642672000033327,-0.16722361132213898
antonoff,acousticness,-0.7472801440150736,-0.7275921767700984,-0.4843669959805634
antonoff,speechiness,0.07994914848665831,0.05669753934648828,0.336720629670017
antonoff,mode,0.11085277469479425,-0.005562199651751215,-0.09194666080040041
antonoff,loudness,0.820403185651795,NA,0.3660746349157814
antonoff,energy,NA,NA,0.2741620895944768
epworth,tempo,0.24454321116388109,0.18733729055256398,-0.13409654963451942
epworth,valence,0.2877745718871536,0.2273053386736511,0.4655088704315672
epworth,liveness,0.2324862221269059,0.02129503688654878,-0.03108783578249982
epworth,instrumentalness,-0.23568089213230597,-0.4363824615691507,-0.09830568478585121
epworth,acousticness,-0.7399030983837135,-0.5010474110112574,-0.07333282596796106
epworth,speechiness,0.1595575957153278,0.12244668171696853,0.17826399072183885
epworth,mode,0.013662938677949982,-0.03043630750234343,3.9045671722254466e-4
epworth,loudness,0.7489551482665118,NA,0.10362040569303577
epworth,energy,NA,NA,-0.009993919054683918
kurstin,tempo,0.24437679240726662,0.20259889139505743,-0.11875641493355202
kurstin,valence,0.40708523849428635,0.2943084958002579,0.5154201154269429
kurstin,liveness,0.1925008007884549,0.07620495777436334,-0.14017761854884916
kurstin,instrumentalness,-0.2675509990557671,-0.5458763159299663,-0.08994632975301169
kurstin,acousticness,-0.7488933408151801,-0.5789563094171698,-0.19718076274776922
kurstin,speechiness,0.15023032285325502,0.05535039166527261,0.19693136591461075
kurstin,mode,-0.023563291503414727,-0.045841128305998805,-0.10213917415702105
kurstin,loudness,0.7006430296327361,NA,0.24556519399856974
kurstin,energy,NA,NA,0.1661435596014725
little,tempo,0.17993805089101206,0.1427711128849698,-0.3532276314294838
little,valence,0.5599938095106899,0.5621873171935998,0.4890215899330152
little,liveness,0.12285931636881434,-0.07138129378069631,-0.14351249374139208
little,instrumentalness,-0.013250935253409977,-0.15459941388287401,-0.11175326620920395
little,acousticness,-0.7097157530055873,-0.6017721509267803,-0.2075083071445001
little,speechiness,0.269876712007379,0.11105254815580616,0.1291042608734961
little,mode,-0.0066802674311147465,-0.021891958966696903,-0.02474356780648093
little,loudness,0.8211407840612119,NA,0.2553192610341548
little,energy,NA,NA,0.21120488132812062
martin,tempo,0.10037460831106777,0.06631858479239867,-0.19375672440288075
martin,valence,0.49317859902503575,0.3566993135143397,0.47226060400792036
martin,liveness,0.14546334385534238,0.006687051122621222,-0.07959978390485846
martin,instrumentalness,-0.22938923829484928,-0.4167675592271094,-0.16945164697815143
martin,acousticness,-0.6754156099691792,-0.5684644279758916,-0.30923018948940073
martin,speechiness,0.07660467003570318,-0.03907216793825907,0.13085065700029197
martin,mode,-0.02134810196036836,-0.0019549528946132674,-0.11377895081417198
martin,loudness,0.7201098213832114,NA,0.2086864062164752
martin,energy,NA,NA,0.2063222710329813
nowels,tempo,0.24366274830427673,0.23767708402924026,-0.15541110265561925
nowels,valence,0.285173505999207,-0.11205350667829504,0.42384215212980136
nowels,liveness,0.28671564282152384,0.26736555088699865,-0.10603442808710833
nowels,instrumentalness,-0.28927478530752276,-0.6914169733177914,-0.21770632132469167
nowels,acousticness,-0.7785427869804104,-0.5196019919513138,-0.4580674737601814
nowels,speechiness,0.42197104709045974,0.15903836254365802,0.34330814793517106
nowels,mode,0.010716543470477262,0.06265670895567665,0.05978131306642546
nowels,loudness,0.6961651669519534,NA,0.3241341005653369
nowels,energy,NA,NA,0.4448258160246719
other,tempo,0.2494085679487878,0.20454974866805306,0.01846100320637963
other,valence,0.45616793315102566,0.30732477529879015,0.5527183880423846
other,liveness,0.1449665259755417,0.07453047782449598,-0.06318972545608875
other,instrumentalness,-0.16968974246820623,-0.44077720186486385,-0.11017273652145801
other,acousticness,-0.7257348716398687,-0.5904111758271394,-0.24216124429637526
other,speechiness,0.06263698738913724,-0.1233231572390622,0.08566945625511653
other,mode,-0.1304122388453576,-0.03881669145522522,-0.031863749849041514
other,loudness,0.7603733170209258,NA,0.25150185201818986
other,energy,NA,NA,0.31650041601559903
rechtshaid,tempo,0.23053660973056792,0.16564525756514475,-0.3228852596828207
rechtshaid,valence,0.43594576693844744,0.4191618539131616,0.511927434444158
rechtshaid,liveness,0.11828720065871555,-0.1640329733330346,-0.23941061570732733
rechtshaid,instrumentalness,0.026350662460982333,-0.1078211788708362,-0.13601629897647774
rechtshaid,acousticness,-0.7444795312840425,-0.5130772844369652,-0.10394120258592918
rechtshaid,speechiness,0.3017698694174824,0.14209086017889508,0.12348983002700278
rechtshaid,mode,0.082545710331504,0.12322022513062904,-0.04825707185361087
rechtshaid,loudness,0.7943464065875363,NA,0.24383448354268356
rechtshaid,energy,NA,NA,0.22651142998183857
